"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"false","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","ACH-001270","127399"
"false","CNS/Brain","Diffuse Glioma","Astrocytoma","ACH-001000","1321N1"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-001001","143B"
"false","Testis","Non-Seminomatous Germ Cell Tumor","Embryonal Carcinoma","ACH-001437","1618K"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002680","170MGBA"
"false","Testis","Non-Seminomatous Germ Cell Tumor","Embryonal Carcinoma","ACH-001438","1777NRPMET"
"false","Breast","Non-Cancerous","Immortalized Breast Cells","ACH-002319","184A1"
"false","Breast","Non-Cancerous","Immortalized Breast Cells","ACH-001827","184B5"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-002089","201T"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-002401","21MT2"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-002399","21NT"
"false","Prostate","Prostate Adenocarcinoma","Prostate Adenocarcinoma","ACH-000956","22RV1"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000948","2313287"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000011","253J"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000026","253JBV"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000323","42MGBA"
"false","Skin","Melanoma","Cutaneous Melanoma","ACH-001002","451LU"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000905","5637"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000520","59M"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Carcinoma, NOS","ACH-002320","600MPE"
"false","Bladder/Urinary Tract","Urethral Cancer","Urethral Urothelial Carcinoma","ACH-000973","639V"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000896","647V"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000070","697"
"false","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000411","769P"
"false","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000649","786O"
"false","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001306","8305C"
"false","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001307","8505C"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000137","8MGBA"
"false","Eye","Ocular Melanoma","Uveal Melanoma","ACH-001441","921"
"false","Soft Tissue","Liposarcoma","Well-Differentiated Liposarcoma","ACH-001794","93T449"
"false","Soft Tissue","Liposarcoma","Well-Differentiated Liposarcoma","ACH-001795","94T778"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-001999","9505BIK"
"false","Soft Tissue","Liposarcoma","Well-Differentiated Liposarcoma","ACH-001796","95T1000"
"false","Skin","Melanoma","Melanoma","ACH-000008","A101D"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000283","A1207"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000558","A172"
"false","Kidney","Rhabdoid Cancer","Rhabdoid Cancer","ACH-000201","A204"
"false","Skin","Melanoma","Melanoma","ACH-000788","A2058"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000740","A253"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Endometrioid Ovarian Cancer","ACH-000657","A2780"
"false","Skin","Melanoma","Melanoma","ACH-000219","A375"
"false","Skin","Melanoma","Melanoma","ACH-002001","A375SKINCJ1"
"false","Skin","Melanoma","Melanoma","ACH-002002","A375SKINCJ2"
"false","Skin","Melanoma","Melanoma","ACH-002003","A375SKINCJ3"
"false","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001442","A388"
"false","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","ACH-000697","A3KAW"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000757","A427"
"false","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001328","A431"
"false","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000555","A498"
"false","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","ACH-000157","A4FUK"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000681","A549"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-003012","A549CRAFKD"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-000052","A673"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001007","A673STAG2KO16"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001008","A673STAG2KO45"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001009","A673STAG2NT14"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001010","A673STAG2NT23"
"false","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000429","A704"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000528","ABC1"
"false","Unknown","Non-Cancerous","Immortalized Human Intervertebral Disc Cartilage Endplate-derived Stem Cells","ACH-003132","ABMT0009"
"false","Unknown","Non-Cancerous","Immortalized Human Chondrocytes","ACH-003133","ABMT0021"
"false","Unknown","Non-Cancerous","Immortalized Human Chondrocytes â hTERT","ACH-003136","ABMT0023"
"false","Unknown","Non-Cancerous","Immortalized Human Pancreatic Mesenchymal Stem Cells - hTERT","ACH-003134","ABMT0168"
"false","CNS/Brain","Non-Cancerous","Immortalized Astrocytes, Fetal","ACH-003135","ABMT0280"
"false","CNS/Brain","Non-Cancerous","Immortalized Astrocytes, Fetal","ACH-003137","ABMT0281"
"false","CNS/Brain","Non-Cancerous","Immortalized Endothelial Cells, Endoneurial","ACH-003138","ABMT0292"
"false","Muscle","Non-Cancerous","Immortalized Cardiomyocytes","ACH-003139","ABMT0457"
"false","Muscle","Non-Cancerous","immortalized Smooth Muscle Cells, Coronary artery","ACH-003141","ABMT0557"
"false","Muscle","Non-Cancerous","Immortalized Smooth Muscle Cells, Pulmonary artery","ACH-003142","ABMT0558"
"false","Kidney","Non-Cancerous","Immortalized Epithelial Cells, Renal","ACH-003143","ABMT0616"
"false","Embryonal","Non-Cancerous","Immortalized Endothelial Cells, Umbilical Vein","ACH-003145","ABMT0725"
"false","Unknown","Non-Cancerous","Immortalized Submandibular Gland Cells","ACH-003147","ABMT0732"
"false","CNS/Brain","Non-Cancerous","Immortalized Neuronal Progenitor Cells","ACH-003148","ABMT0781"
"false","Muscle","Non-Cancerous","Immortalized Skeletal Muscle Cells","ACH-003149","ABMT0782"
"false","CNS/Brain","Non-Cancerous","Immortalized Astrocytes, Adult","ACH-003150","ABMT0783"
"false","Liver","Non-Cancerous","Immortalized Liver Cells, Fetal","ACH-003155","ABMT0789"
"false","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","ACH-003153","ABMT0794"
"false","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","ACH-003154","ABMT0795"
"false","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","ACH-003152","ABMT0796"
"false","Lung","Non-Cancerous","Immortalized Epithelial Cells, Lung","ACH-003156","ABMT0797"
"false","Lung","Non-Cancerous","Immortalized MPLC Cells","ACH-003157","ABMT0822"
"false","Muscle","Non-Cancerous","Immortalized Smooth Muscle Cells, Intestinal","ACH-003158","ABMT9220"
"false","Hair","Non-Cancerous","Immortalized Hair Follicle Inner Root Sheath Cells","ACH-003159","ABMT9233"
"false","Hair","Non-Cancerous","Immortalized Hair Germinal Matrix Cells","ACH-003160","ABMT9249"
"false","Pancreas","Non-Cancerous","Immortalized Pancreatic Stromal Cells","ACH-003161","ABMT9430"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000086","ACCMESO1"
"false","Kidney","Renal Cell Carcinoma","Papillary Renal Cell Carcinoma","ACH-000046","ACHN"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002389","ACN"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000880","AGS"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-002209","ALLPO"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000105","ALLSIL"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000269","AM38"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000557","AML193"
"false","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","ACH-000838","AMO1"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000940","AN3CA"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-001329","ANGMCSS"
"false","Myeloid","Non-Cancerous","Immortalized Blood","ACH-002210","ARH77"
"false","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001443","ASH3"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000222","ASPC1"
"false","Soft Tissue","Alveolar Soft Part Sarcoma","Alveolar Soft Part Sarcoma","ACH-003125","ASPSKY"
"false","Lymphoid","Mature T and NK Neoplasms","Adult T-Cell Leukemia/Lymphoma","ACH-002058","ATN1"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000248","AU565"
"false","Bowel","Small Bowel Cancer","Duodenal Adenocarcinoma","ACH-001015","AZ521"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-002211","BALL1"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","ACH-002212","BB30HNC"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002342","BB30PBL"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002343","BB49EBV"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002213","BB49HNC"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002344","BB65EBV"
"false","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-002090","BB65RCC"
"false","Lymphoid","Mature B-Cell Neoplasms","Primary Effusion Lymphoma","ACH-002214","BC1"
"false","Lymphoid","Mature B-Cell Neoplasms","Primary Effusion Lymphoma","ACH-002478","BC2"
"false","Lymphoid","Mature B-Cell Neoplasms","Primary Effusion Lymphoma","ACH-002215","BC3"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000593","BC3C"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-002921","BCK4"
"false","Lymphoid","Mature B-Cell Neoplasms","Primary Effusion Lymphoma","ACH-000923","BCP1"
"false","Thyroid","Poorly Differentiated Thyroid Cancer","Poorly Differentiated Thyroid Cancer","ACH-000456","BCPAP"
"false","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","ACH-000080","BDCM"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-002216","BE13"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002217","BE2M17"
"false","CNS/Brain","Diffuse Glioma","Astrocytoma","ACH-001016","BECKER"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000603","BEN"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000802","BFTC905"
"false","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000792","BFTC909"
"false","Cervix","Cervical Adenocarcinoma","Endocervical Adenocarcinoma","ACH-001017","BGC823"
"false","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-000191","BHT101"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000548","BHY"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001331","BICR10"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000503","BICR16"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-000992","BICR18"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000794","BICR22"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000228","BICR31"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000771","BICR56"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Hypopharynx Squamous Cell Carcinoma","ACH-000415","BICR6"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001332","BICR78"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Small Cell Carcinoma of the Ovary","ACH-001278","BIN67"
"false","Fibroblast","Non-Cancerous","Fibroblast, NOS","ACH-001018","BJHTERT"
"false","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","ACH-000245","BL41"
"false","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","ACH-000402","BL70"
"false","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","ACH-001450","BLUE1"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001451","BOKU"
"false","Lymphoid","Mature B-Cell Neoplasms","Hairy Cell Leukemia","ACH-001452","BONNA12"
"false","Prostate","Non-Cancerous","Hyperplasia, Prostate","ACH-001453","BPH1"
"false","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-000160","BT12"
"false","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001020","BT16"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000536","BT20"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000927","BT474"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000818","BT483"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Carcinoma, NOS","ACH-000288","BT549"
"false","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000432","BV173"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000535","BXPC3"
