pmid,line_number,line,entities
39256791,9,"Further, the crude hexane and bioactive fraction extracts induced apoptosis in the MDA-MB-231 TNBC cells, like the reference drug cisplatin (17.44%, 17.26% and 20.25%, respectively) compared to untreated cells. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 130, 'end': 139}]"
39256791,10,"Caspase 3 activities confirmed the induction of apoptosis in both cisplatin and the plant crude extracts, while caspase 8 and 9 activities confirmed the activation of both the intrinsic and extrinsic apoptosis pathways. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 66, 'end': 75}]"
39256791,49,"The cells were treated with plant crude extract at 7.8125, 15.625, 31.25, 62.5, 125 and 250 μg/mL and cisplatin (Sigma Aldrich, USA) at 3 μg/mL (as the reference drug). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 102, 'end': 111}]"
39256791,56,The Annexin V-FITC/Propidium Iodide (PI) apoptosis assay was conducted on MDA-MB 231 TNBC cells that were seeded in 24-well plates at a density of 2.5 × 10⁵  cells/well. ,"[{'entity': '2.5 × 10⁵  cells/well', 'type': 'Cell Density (cells/well)', 'start': 147, 'end': 168}]"
39256791,58,"Afterwards, the cells were treated with cisplatin (10 μM/3 μg/mL) and the plant crude extract at their respective IC  values for 48 h. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 40, 'end': 49}]"
39256791,71,"To measure the activities of Caspase 3, 8, and 9, cells were treated with plant crude extract (IC  values) and cisplatin (3 μg/mL) for 48 h. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 111, 'end': 120}]"
39256791,93,"Untreated cells (MDA-MB 231), cells treated with the reference drug (cisplatin, 3 μg/mL), and cells treated with   (IC ) were added to the chambers.","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 69, 'end': 78}]"
39256791,100,"The fifth step included stepwise titrations of the uncoupler carbonyl cyanide m-chlorophenylhydrazone CCCP (U) (0.5 μM) to determine noncoupled CI-linked respiration, corresponding to electron transfer system capacity (ETS capacity) with CI-linked substrates.","[{'entity': 'CI', 'type': 'CellLine', 'start': 144, 'end': 146}, {'entity': 'CI', 'type': 'CellLine', 'start': 238, 'end': 240}]"
39256791,139,"Results  crude extract and bioactive fractions against MDA-MB 231 cells An initial pre-screen of the cytotoxic effect of   leaf crude extract against the MDA-MB 231 TNBC cells was done.   leaf crude extract was screened at 250 μg/mL, while cisplatin (reference drug) was screened at 3 μg/mL. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 240, 'end': 249}]"
39256791,140,"The plant crude extract showed growth inhibition of 83.40% when screened against MDA-MB 231 cells compared to cisplatin, which showed 78.97% growth inhibition (Fig.  A and Supplementary Fig.  ).","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 110, 'end': 119}]"
39256791,147,"The plant crude extract was screened at concentration range of 7.8125, 15.625, 31.25, 62.5, 125 and 250 μg/mL, while cisplatin was assessed across the concentration range of 0.9375, 1.875, 3.75, 7.5, 15, and 30 μg/mL (Fig.  C and Supplementary Table  ). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 117, 'end': 126}]"
39256791,150,The results indicate that cisplatin was more potent than the crude extract in inhibiting the proliferation of MDA-MB-231 TNBC cells. ,"[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 26, 'end': 35}]"
39256791,155,"1  leaf crude extract, bioactive fractions and cisplatin as reference drug against TNBC. ( A ) Initial cytotoxicity screen of   leaf crude extract against MDA-MB 231 TNBC cells. ( B ) Cytotoxic activity of   and cisplatin against Vero cells line; ( C ) Dose-response curves were constructed to assess the cytotoxicity of   and cisplatin against MDA-MB 231 TNBC cells; ( D ) IC  of the crude leave extracts of  E racemosus ; ( E ). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 47, 'end': 56}, {'entity': 'Cisplatin', 'type': 'Drug', 'start': 212, 'end': 221}, {'entity': 'Cisplatin', 'type': 'Drug', 'start': 327, 'end': 336}]"
39256791,156,"Initial cytotoxicity screen of   bioactive fraction extracts against MDA-MB 231 TNBC cells; ( F ) Cytotoxic activity of the selected bioactive fractions of   (SF2) and cisplatin against Vero cells lines; ( G ) Dose-response curves of the 80% ethyl acetate and 20% hexane of   fraction extract and cisplatin against MDA-MB 231 TNBC ( H  of the crude leave extracts SF2. Results represent the mean ± SD of three technical and biological replicates Full size image The six fractions of   leaf crude extracts (Supplementary Table  ) were also screened against the TNBC cells at concentrations ranging from 62.5 to 250 μg/mL, cisplatin was screened at 3 μg/mL. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 168, 'end': 177}, {'entity': 'Cisplatin', 'type': 'Drug', 'start': 297, 'end': 306}, {'entity': 'Cisplatin', 'type': 'Drug', 'start': 621, 'end': 630}]"
39256791,167,"Once again, cisplatin showed a lower IC  value of 2.106 ± 0.09 μg/mL, as was observed with the plant crude extract (Fig.  G-H and Supplementary Table ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 12, 'end': 21}]"
39256791,168,Determination of mode of cell death using annexin-V and propidium iodide (PI) staining The mode of cell death in response to treatments with   leaf crude extract and cisplatin was evaluated using the Annexin-V/PI kit from Invitrogen (ThermoFisher Scientific) via flow cytometry. ,"[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 166, 'end': 175}]"
39256791,176,The study’s findings specifically demonstrated that the condition screened   leaf crude extracts induced a similar increase in apoptosis as cisplatin. ,"[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 140, 'end': 149}]"
39256791,177,"However, a higher percentage of necrosis was observed compared to cisplatin and the untreated control.","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 66, 'end': 75}]"
39256791,192,4 to  3 μg/mL cisplatin and 12.84 ug/mL   at a concentration of 12.84 ug/mL for 48 h. ,"[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 14, 'end': 23}]"
39256791,205,"5  leaf crude extract, bioactive fraction and cisplatin. ( ) Caspases 3 activity of the hexane crude leaves extract of   and cisplatin; ( ) Caspases 8 activity of the hexane crude leaves extract of  ) Caspases 9 activity of the hexane crude leaves extract of  ) Caspases 3 activity of the bioactive fraction (SF2) of   leaf crude extracts; ( ) Caspases 8 activity of the bioactive fraction (SF2); ( ) Caspases 9 activities of the bioactive fraction (SF2). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 46, 'end': 55}, {'entity': 'Cisplatin', 'type': 'Drug', 'start': 125, 'end': 134}]"
39256791,208,"The  -values were calculated using the two-tailed student t-test The results suggest   leaves crude extract significantly influences the activity of caspase 8, a pivotal player in the extrinsic apoptotic pathways.   leaves crude extract induced a 0.20-fold increase, while cisplatin showed a slight increase of 0.03-fold in caspase 8 activity compared to the control (1.00-fold) (Fig.  B). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 273, 'end': 282}]"
39256791,209,"Interestingly,   leaf crude extracts also showed higher caspase 9 activity 0.09-fold when compared to cisplatin and the untreated control, which showed 0.02 and 1.00-fold, respectively (Fig.  C). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 102, 'end': 111}]"
39256791,226,"Conversely, cisplatin-treated cells exhibit increased levels of compensatory glycolysis and post-2-DG acidification (650.31 and 242.78 pmol/min, respectively) and a decreased level of basal glycolysis (277.78 pmol/min) in MDA-MB 231 TNBC cells relative to untreated cells (Fig.  A-D). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 12, 'end': 21}]"
39256791,229,"Interestingly, this phenomenon contrasts with the effects of cisplatin treatment, where compensatory glycolysis is similarly elevated but basal glycolysis is reduced. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 61, 'end': 70}]"
39256791,232,6  leaf crude extracts and cisplatin on MDA-MB TNBC cells. ,"[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 27, 'end': 36}]"
39256791,237,"An increase in routine respiration (RO) in cells treated with cisplatin (29.15 pmol·s − 1 ·mL ) compared to untreated cells (10.65 pmol·s ) was observed, and cells treated with   leaf crude extracts showed an elevated level of routine respiration (20.46 pmol·s ). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 62, 'end': 71}]"
39256791,238,"Both treatment groups demonstrated significantly higher leak respiration (LR) compared to untreated cells (control), with cisplatin-treated cells (64.06 pmol·s ) and   leaf crude extract treated cells (67.77 pmol·s ) showing a considerable elevation in leak respiration, whereas untreated cells recorded a relatively lower value (17.75 pmol·s","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 122, 'end': 131}]"
39256791,240,"In addition, Cytochrome-C (Cyt-C) expression was increased in both cisplatin and   leaf crude extract treated cells (34.29 pmol·s  and 32.30 pmol·s  respectively). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 67, 'end': 76}]"
39256791,243,"Interestingly, Complex-II linked respiration (C-II) demonstrated increased levels in cisplatin-treated cells (37.61 pmol·s ), further emphasising the alterations in mitochondrial activity.","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 85, 'end': 94}]"
39256791,245,"The results of the glycerophosphate dehydrogenase flux showed an increase in both treatment groups, with cisplatin-treated cells (37.98 pmol·s ) showing the most pronounced effect ( , 26.18 pmol·s ). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 105, 'end': 114}]"
39256791,246,"Complex-IV (C-IV) showed increased activity in the cisplatin-treated cells (90.55 pmol·s ), while   leaf crude extract (51.71 pmol·s ) showed a moderate effect when compared to the untreated cells (66.52 pmol·s ). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 51, 'end': 60}]"
39256791,247,"These findings suggest a complex interplay between cisplatin,   leaf crude extract, and mitochondrial activity within MDA-MB 231 TNBC cells (Fig.  ). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 51, 'end': 60}]"
39256791,249,"In the presence of cisplatin and   leaves crude extract, the P/E ratio showed a slight decrease of 0.93 ± 0.85 and 0.89 ± 0.60, respectively, implying a possible effect on the efficiency of mitochondrial oxidative phosphorylation. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 19, 'end': 28}]"
39256791,275,"An MTT assay was used to evaluate the impact of these isolated phytochemicals on cell viability across multiple cell lines, including MCF-7 (breast cancer), A549 lung cancer, HepG2 liver cancer, and normal HEK 293 cell lines. ","[{'entity': 'A549', 'type': 'CellLine', 'start': 157, 'end': 161}]"
39256791,280,"Here, Nthambeleni, 2008 [ ] investigated the potential of crude extracts derived from  Eriocephalus tenuifolius E. tenuifolius , which belongs to the same botanical family and genus as  ) and its isolated compounds against a panel of human cell lines, including renal (TK10), melanoma (UACC62) and breast (MCF 7) cancer cell lines. ","[{'entity': 'TK10', 'type': 'CellLine', 'start': 269, 'end': 273}, {'entity': 'UACC62', 'type': 'CellLine', 'start': 286, 'end': 292}]"
39256791,293,"In comparison, the control drug cisplatin, at a concentration of 3 μg/mL, demonstrated a higher growth inhibition rate of 62.55% against Vero cells (Fig.  ). ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 32, 'end': 41}]"
39256791,303,"In the current study, the administration of cisplatin (3 μg/mL) exhibited a significant increase in both early (20.25 ± 1.43) and late apoptosis (7.29 ± 0.89) within TNBC cells, thereby emphasising its effectiveness in promoting programmed cell death. ","[{'entity': 'Cisplatin', 'type': 'Drug', 'start': 44, 'end': 53}]"
